Spiklet1,Spiklet2,Spiklet3,Spiklet4,T01,T02,T04,T04(110711),T05
,,23,,,3,,,
,,30,,,4,,,
,,25,,,6,,,
,,30,,,8,,,
,,18,,,6,,,
,,30,,,31,,,
,,21,,,20,,,
,,30,,,21,,,
,,18,,,10,,,
,,30,,,20,,,
,,25,,,20,,,
,,30,,,2,,,
,,21,,,23,,,
,,30,,,30,,,
,,6,,,18,,,
,,7,,,19,,,
,,30,,,20,,,
,,13,,,21,,,
,,30,,,8,,,
,,23,,,12,,,
,,30,,,27,,,
,,20,,,13,,,
,,21,,,14,,,
,,30,,,15,,,
,,28,,,16,,,
,,30,,,17,,,
,,31,,,18,,,
,,32,,,19,,,
,,14,,,20,,,
,,30,,,21,,,
,,1,,,22,,,
,,2,,,23,,,
,,30,,,24,,,
,,11,,,25,,,
,,12,,,26,,,
,,30,,,27,,,
,,11,,,28,,,
,,12,,,29,,,
,,30,,,15,,,
,,22,,,10,,,
,,30,,,13,,,
,,17,,,15,,,
,,30,,,30,,,
,,31,,,17,,,
,,32,,,29,,,
,,9,,,31,,,
,,10,,,4,,,
,,11,,,5,,,
,,12,,,14,,,
,,13,,,15,,,
,,14,,,16,,,
,,15,,,17,,,
,,16,,,18,,,
,,17,,,19,,,
,,18,,,20,,,
,,19,,,21,,,
,,24,,,22,,,
,,29,,,23,,,
,,30,,,24,,,
,,,,,25,,,
,,,,,26,,,
,,,,,27,,,
,,,,,28,,,
,,,,,29,,,
,,,,,4,,,
,,,,,7,,,
,,,,,16,,,
,,,,,20,,,
,,,,,21,,,
,,,,,22,,,
,,,,,28,,,
,,,,,4,,,
,,,,,8,,,
,,,,,10,,,
,,,,,12,,,
,,,,,13,,,
,,,,,14,,,
,,,,,15,,,
,,,,,16,,,
,,,,,17,,,
,,,,,18,,,
,,,,,19,,,
,,,,,20,,,
,,,,,21,,,
,,,,,22,,,
,,,,,23,,,
,,,,,24,,,
,,,,,25,,,
,,,,,26,,,
,,,,,27,,,
,,,,,28,,,
,,,,,29,,,
,,,,,22,,,
,,,,,23,,,
,,,,,24,,,
,,,,,6,,,
,,,,,18,,,
,,,,,19,,,
,,,,,30,,,
,,,,,10,,,
,,,,,26,,,
,,,,,2,,,
,,,,,12,,,
,,,,,13,,,
,,,,,17,,,
,,,,,6,,,
,,,,,2,,,
,,,,,29,,,
,,,,,8,,,
,,,,,10,,,
,,,,,13,,,
,,,,,8,,,
,,,,,17,,,
,,,,,18,,,
,,,,,20,,,
,,,,,21,,,
,,,,,22,,,
,,,,,22,,,
,,,,,7,,,
,,,,,14,,,
,,,,,31,,,
,,,,,13,,,
,,,,,14,,,
,,,,,15,,,
,,,,,16,,,
,,,,,17,,,
,,,,,18,,,
,,,,,19,,,
,,,,,20,,,
,,,,,21,,,
,,,,,22,,,
,,,,,23,,,
,,,,,24,,,
,,,,,25,,,
,,,,,26,,,
,,,,,27,,,
,,,,,28,,,
,,,,,29,,,
,,,,,30,,,
,,,,,28,,,
,,,,,13,,,
,,,,,10,,,
